id_mutation,date_mutation,numero_disposition,nature_mutation,valeur_fonciere,adresse_numero,adresse_suffixe,adresse_nom_voie,adresse_code_voie,code_postal,code_commune,nom_commune,code_departement,ancien_code_commune,ancien_nom_commune,id_parcelle,ancien_id_parcelle,numero_volume,lot1_numero,lot1_surface_carrez,lot2_numero,lot2_surface_carrez,lot3_numero,lot3_surface_carrez,lot4_numero,lot4_surface_carrez,lot5_numero,lot5_surface_carrez,nombre_lots,code_type_local,type_local,surface_reelle_bati,nombre_pieces_principales,code_nature_culture,nature_culture,code_nature_culture_speciale,nature_culture_speciale,surface_terrain,longitude,latitude
2023-432467,2023-01-06,000001,Vente,135000,15,,CITE DU NORD R J LABORDERE,0760,80500,80561,Montdidier,80,,,80561000ZE0078,,,,,,,,,,,,,0,3,Dépendance,,0,S,sols,,,70,2.563249,49.635963
2023-432467,2023-01-06,000001,Vente,135000,15,,CITE DU NORD R J LABORDERE,0760,80500,80561,Montdidier,80,,,80561000ZE0078,,,,,,,,,,,,,0,1,Maison,74,4,S,sols,,,70,2.563249,49.635963
2023-432468,2023-01-10,000001,Vente,221000,65,,RUE DES PRES,0190,80132,80171,Caours,80,,,80171000AK0107,,,,,,,,,,,,,0,3,Dépendance,,0,S,sols,,,760,1.876013,50.128761
2023-432468,2023-01-10,000001,Vente,221000,65,,RUE DES PRES,0190,80132,80171,Caours,80,,,80171000AK0107,,,,,,,,,,,,,0,3,Dépendance,,0,J,jardins,,,1088,1.876013,50.128761
2023-432468,2023-01-10,000001,Vente,221000,65,,RUE DES PRES,0190,80132,80171,Caours,80,,,80171000AK0107,,,,,,,,,,,,,0,3,Dépendance,,0,J,jardins,,,1088,1.876013,50.128761
2023-432468,2023-01-10,000001,Vente,221000,65,,RUE DES PRES,0190,80132,80171,Caours,80,,,80171000AK0107,,,,,,,,,,,,,0,3,Dépendance,,0,J,jardins,,,1088,1.876013,50.128761
2023-432468,2023-01-10,000001,Vente,221000,65,,RUE DES PRES,0190,80132,80171,Caours,80,,,80171000AK0107,,,,,,,,,,,,,0,1,Maison,103,5,J,jardins,,,1088,1.876013,50.128761
2023-432468,2023-01-10,000001,Vente,221000,65,,RUE DES PRES,0190,80132,80171,Caours,80,,,80171000AK0107,,,,,,,,,,,,,0,1,Maison,103,5,S,sols,,,760,1.876013,50.128761
2023-432468,2023-01-10,000001,Vente,221000,65,,RUE DES PRES,0190,80132,80171,Caours,80,,,80171000AK0107,,,,,,,,,,,,,0,3,Dépendance,,0,S,sols,,,760,1.876013,50.128761
2023-432468,2023-01-10,000001,Vente,221000,65,,RUE DES PRES,0190,80132,80171,Caours,80,,,80171000AK0107,,,,,,,,,,,,,0,3,Dépendance,,0,J,jardins,,,1088,1.876013,50.128761
2023-432468,2023-01-10,000001,Vente,221000,65,,RUE DES PRES,0190,80132,80171,Caours,80,,,80171000AK0107,,,,,,,,,,,,,0,3,Dépendance,,0,S,sols,,,760,1.876013,50.128761
2023-432468,2023-01-10,000001,Vente,221000,65,,RUE DES PRES,0190,80132,80171,Caours,80,,,80171000AK0107,,,,,,,,,,,,,0,3,Dépendance,,0,S,sols,,,760,1.876013,50.128761
2023-432468,2023-01-10,000001,Vente,221000,,,SOLE DES HUIT,B034,80132,80171,Caours,80,,,80171000AK0114,,,,,,,,,,,,,0,,,,,P,prés,,,1486,1.876773,50.128575
2023-432469,2023-01-04,000001,Vente,273250,10,,ALL DU VERGER,8100,80090,80021,Amiens,80,,,80021000DM0299,,,,,,,,,,,,,0,1,Maison,91,5,S,sols,,,264,2.331941,49.874809
2023-432469,2023-01-04,000001,Vente,273250,,,RUE RENE BOILEAU,6770,80090,80021,Amiens,80,,,80021000DM0306,,,,,,,,,,,,,0,,,,,S,sols,,,1144,2.332239,49.874755
2023-432470,2023-01-06,000001,Vente,155000,2,,RUE JULES VERNE,0580,80550,80228,Le Crotoy,80,,,80228000AR0267,,,19,28.13,23,,,,,,,,2,2,Appartement,27,1,,,,,,1.628639,50.214943
2023-432470,2023-01-06,000001,Vente,155000,2,,RUE JULES VERNE,0580,80550,80228,Le Crotoy,80,,,80228000AR0267,,,19,28.13,23,,,,,,,,2,2,Appartement,29,2,,,,,,1.628639,50.214943
2023-432470,2023-01-06,000001,Vente,155000,2,,RUE JULES VERNE,0580,80550,80228,Le Crotoy,80,,,80228000AR0267,,,19,28.13,23,,,,,,,,2,2,Appartement,39,2,,,,,,1.628639,50.214943
2023-432470,2023-01-06,000001,Vente,155000,2,,RUE JULES VERNE,0580,80550,80228,Le Crotoy,80,,,80228000AR0267,,,19,28.13,23,,,,,,,,2,2,Appartement,37,2,,,,,,1.628639,50.214943
2023-432470,2023-01-06,000001,Vente,155000,2,,RUE JULES VERNE,0580,80550,80228,Le Crotoy,80,,,80228000AR0267,,,19,28.13,23,,,,,,,,2,2,Appartement,27,1,,,,,,1.628639,50.214943
2023-432470,2023-01-06,000001,Vente,155000,2,,RUE JULES VERNE,0580,80550,80228,Le Crotoy,80,,,80228000AR0267,,,19,28.13,23,,,,,,,,2,2,Appartement,25,1,,,,,,1.628639,50.214943
2023-432470,2023-01-06,000001,Vente,155000,2,,RUE JULES VERNE,0580,80550,80228,Le Crotoy,80,,,80228000AR0267,,,19,28.13,23,,,,,,,,2,2,Appartement,45,3,,,,,,1.628639,50.214943
2023-432470,2023-01-06,000001,Vente,155000,2,,RUE JULES VERNE,0580,80550,80228,Le Crotoy,80,,,80228000AR0267,,,19,28.13,23,,,,,,,,2,2,Appartement,37,2,,,,,,1.628639,50.214943
2023-432470,2023-01-06,000001,Vente,155000,2,,RUE JULES VERNE,0580,80550,80228,Le Crotoy,80,,,80228000AR0267,,,19,28.13,23,,,,,,,,2,2,Appartement,36,2,,,,,,1.628639,50.214943
2023-432471,2023-01-06,000001,Vente,101175,2,,RUE DE L EGLISE,0013,80700,80176,Carrépuis,80,,,80176000AB0078,,,,,,,,,,,,,0,1,Maison,80,5,S,sols,,,196,2.823721,49.70483
2023-432471,2023-01-06,000001,Vente,101175,2,,RUE DE L EGLISE,0013,80700,80176,Carrépuis,80,,,80176000AB0078,,,,,,,,,,,,,0,3,Dépendance,,0,S,sols,,,196,2.823721,49.70483
2023-432471,2023-01-06,000001,Vente,101175,2,,RUE DE L EGLISE,0013,80700,80176,Carrépuis,80,,,80176000AB0078,,,,,,,,,,,,,0,3,Dépendance,,0,J,jardins,,,898,2.823721,49.70483
2023-432471,2023-01-06,000001,Vente,101175,2,,RUE DE L EGLISE,0013,80700,80176,Carrépuis,80,,,80176000AB0078,,,,,,,,,,,,,0,1,Maison,80,5,J,jardins,,,898,2.823721,49.70483
2023-432472,2023-01-10,000001,Vente,168300,8,,MONT PRE,B012,80470,80256,Dreuil-lès-Amiens,80,,,80256000AE0039,,,,,,,,,,,,,0,1,Maison,85,4,S,sols,,,135,2.229037,49.911086
2023-432473,2023-01-03,000001,Vente,92000,9001,,RUE GEORGES GUYNEMER,3805,80080,80021,Amiens,80,,,80021000BT0306,,,302,67.31,342,,,,,,,,2,3,Dépendance,,0,,,,,,2.301313,49.90905
2023-432473,2023-01-03,000001,Vente,92000,9001,,RUE GEORGES GUYNEMER,3805,80080,80021,Amiens,80,,,80021000BT0306,,,302,67.31,342,,,,,,,,2,2,Appartement,69,4,,,,,,2.301313,49.90905
2023-432474,2023-01-06,000001,Vente,8500,,,LE MEILLIER,B039,80135,80609,Oneux,80,,,80609000ZA0009,,,,,,,,,,,,,0,,,,,BT,taillis simples,,,4280,1.957127,50.156906
2023-432475,2023-01-10,000001,Vente,255000,,,LE VILLAGE,B023,80132,80078,Bellancourt,80,,,800780000D0339,,,,,,,,,,,,,0,,,,,S,sols,,,462,1.908376,50.092557
2023-432475,2023-01-10,000001,Vente,255000,,,LE VILLAGE,B023,80132,80078,Bellancourt,80,,,800780000D0339,,,,,,,,,,,,,0,,,,,P,prés,,,3910,1.908376,50.092557
2023-432475,2023-01-10,000001,Vente,255000,,,LE VILLAGE,B023,80132,80078,Bellancourt,80,,,800780000D0405,,,,,,,,,,,,,0,,,,,P,prés,,,1200,1.909355,50.092863
2023-432475,2023-01-10,000001,Vente,255000,7,,RUE DE MONFLIERES,0032,80132,80078,Bellancourt,80,,,800780000D0428,,,,,,,,,,,,,0,1,Maison,105,5,S,sols,,,1345,1.908149,50.092502
2023-432475,2023-01-10,000001,Vente,255000,,,LE VILLAGE,B023,80132,80078,Bellancourt,80,,,800780000D0910,,,,,,,,,,,,,0,,,,,P,prés,,,1639,1.909784,50.093154
2023-432475,2023-01-10,000001,Vente,255000,,,LE VILLAGE,B023,80132,80078,Bellancourt,80,,,800780000D0913,,,,,,,,,,,,,0,,,,,P,prés,,,6655,1.910812,50.094105
2023-432475,2023-01-10,000001,Vente,255000,,,RUE DU STADE,0053,80132,80078,Bellancourt,80,,,800780000D0916,,,,,,,,,,,,,0,,,,,P,prés,,,27,1.91017,50.093148
2023-432475,2023-01-10,000001,Vente,255000,,,RUE DU STADE,0053,80132,80078,Bellancourt,80,,,800780000D0920,,,,,,,,,,,,,0,,,,,P,prés,,,479,1.910793,50.0938
2023-432476,2023-01-10,000001,Vente,65000,9,,RUE DES SOURCES,0190,80300,80549,Miraumont,80,,,80549000AB0183,,,,,,,,,,,,,0,1,Maison,48,3,S,sols,,,331,2.734483,50.094358
2023-432477,2023-01-10,000001,Vente,33456,,,AU CHEMIN DE PUISIEUX,B021,80300,80549,Miraumont,80,,,80549000ZH0050,,,,,,,,,,,,,0,,,,,T,terres,,,27880,2.712004,50.105077
2023-432478,2023-01-09,000001,Vente,56000,53,,RUE MONSTRELET,5840,80080,80021,Amiens,80,,,80021000BP0068,,,,,,,,,,,,,0,1,Maison,61,3,S,sols,,,52,2.287035,49.90649
2023-432479,2023-01-06,000001,Vente,231000,25,,RTE NATIONALE,0199,80480,80261,Dury,80,,,80261000AD0059,,,,,,,,,,,,,0,3,Dépendance,,0,S,sols,,,326,2.269249,49.844236
2023-432479,2023-01-06,000001,Vente,231000,25,,RTE NATIONALE,0199,80480,80261,Dury,80,,,80261000AD0059,,,,,,,,,,,,,0,1,Maison,135,5,S,sols,,,326,2.269249,49.844236
2023-432480,2023-01-06,000001,Vente,236000,10,,RUE CLABAULT,1850,80000,80021,Amiens,80,,,80021000DX0227,,,,,,,,,,,,,0,1,Maison,79,4,S,sols,,,76,2.3099,49.885324
2023-432481,2023-01-06,000001,Vente,7380000,,,AV DU 14 JUILLET 1789,4681,80000,80021,Amiens,80,,,80021000HT0357,,,,,,,,,,,,,0,,,,,J,jardins,,,1608,2.281221,49.876293
2023-432481,2023-01-06,000001,Vente,7380000,628,,AV DU 14 JUILLET 1789,4681,80000,80021,Amiens,80,,,80021000HT0502,,,,,,,,,,,,,0,4,Local industriel. commercial ou assimilé,260,0,S,sols,,,3525,2.281272,49.876537
2023-432481,2023-01-06,000001,Vente,7380000,628,,AV DU 14 JUILLET 1789,4681,80000,80021,Amiens,80,,,80021000HT0502,,,,,,,,,,,,,0,4,Local industriel. commercial ou assimilé,240,0,S,sols,,,3525,2.281272,49.876537
2023-432481,2023-01-06,000001,Vente,7380000,628,,AV DU 14 JUILLET 1789,4681,80000,80021,Amiens,80,,,80021000HT0502,,,,,,,,,,,,,0,4,Local industriel. commercial ou assimilé,420,0,S,sols,,,3525,2.281272,49.876537
2023-432481,2023-01-06,000001,Vente,7380000,628,,AV DU 14 JUILLET 1789,4681,80000,80021,Amiens,80,,,80021000HT0502,,,,,,,,,,,,,0,4,Local industriel. commercial ou assimilé,115,0,S,sols,,,3525,2.281272,49.876537
2023-432481,2023-01-06,000001,Vente,7380000,628,,AV DU 14 JUILLET 1789,4681,80000,80021,Amiens,80,,,80021000HT0502,,,,,,,,,,,,,0,4,Local industriel. commercial ou assimilé,458,0,S,sols,,,3525,2.281272,49.876537
2023-432481,2023-01-06,000001,Vente,7380000,628,,AV DU 14 JUILLET 1789,4681,80000,80021,Amiens,80,,,80021000HT0502,,,,,,,,,,,,,0,4,Local industriel. commercial ou assimilé,180,0,S,sols,,,3525,2.281272,49.876537
2023-432481,2023-01-06,000001,Vente,7380000,604,,AV DU 14 JUILLET 1789,4681,80000,80021,Amiens,80,,,80021000HT1029,,,,,,,,,,,,,0,,,,,AG,terrains d'agrément,,,1946,2.281584,49.876648
2023-432482,2023-01-09,000001,Vente,110000,,,RUE DU BAS,0020,80290,80436,Hescamps,80,,,80436000AH0077,,,,,,,,,,,,,0,,,,,S,sols,,,1654,1.903695,49.716698
2023-432483,2023-01-04,000001,Vente en l'état futur d'achèvement,241000,22,,RUE ALPHONSE PAILLAT,0370,80000,80021,Amiens,80,,,80021000AN0041,,,101,50.4,,,,,,,,,1,,,,,,,,,,2.298061,49.890877
2023-432483,2023-01-04,000001,Vente en l'état futur d'achèvement,241000,22,,RUE ALPHONSE PAILLAT,0370,80000,80021,Amiens,80,,,80021000AN0041,,,255,,,,,,,,,,1,,,,,,,,,,2.298061,49.890877
2023-432484,2023-01-11,000002,Vente,249000,602,,RUE DANIELLE CASANOVA,0090,80470,80718,Saint-Sauveur,80,,,80718000AE0324,,,,,,,,,,,,,0,3,Dépendance,,0,,,,,,,
2023-432484,2023-01-11,000002,Vente,249000,602,,RUE DANIELLE CASANOVA,0090,80470,80718,Saint-Sauveur,80,,,80718000AE0324,,,,,,,,,,,,,0,1,Maison,129,7,,,,,,,
2023-432485,2023-01-10,000001,Vente,75000,5,,RUE DE HURLEVENT,0410,80890,80205,Condé-Folie,80,,,802050000A1177,,,,,,,,,,,,,0,3,Dépendance,,0,S,sols,,,153,2.005665,50.008698
2023-432485,2023-01-10,000001,Vente,75000,5,,RUE DE HURLEVENT,0410,80890,80205,Condé-Folie,80,,,802050000A1177,,,,,,,,,,,,,0,1,Maison,56,3,S,sols,,,153,2.005665,50.008698
2023-432486,2023-01-12,000001,Vente,53830,,,LE VILLAGE,B050,80560,80038,Auchonvillers,80,,,80038000AB0017,,,,,,,,,,,,,0,,,,,P,prés,,,6260,2.630966,50.078638
